# Paso Energía_Potencial Energía_Cinética Energía_Total
133 35.16781370128045 0.9159047163485812 36.08371841762903
134 35.37111926633931 0.7480563620446139 36.11917562838393
135 35.549232781147126 0.601586146954574 36.1508189281017
136 35.70186749006627 0.4767599344034348 36.1786274244697
137 35.82878020891144 0.3738010549615905 36.20258126387303
138 35.929771747140535 0.29288990198725373 36.22266164912779
139 36.00468724689009 0.23416361182940612 36.2388508587195
140 36.05341643827016 0.19771582925464867 36.25113226752481
141 36.075893810493 0.18359655849174386 36.25949036898474
142 36.07209869857545 0.1918121001174221 36.263910798692876
143 36.04205528551656 0.22232507383649386 36.264380359353055
144 35.98583252001564 0.27505452703881045 36.26088704705445
145 35.90354394995943 0.3498761288455048 36.25342007880493
146 35.79534747206907 0.44662244918756255 36.24196992125663
147 35.66144499825961 0.565083322291477 36.22652832055109
148 35.50208203942461 0.7050062937798628 36.20708833320447
149 35.31754720751777 0.8660971504297932 36.183644357947564
150 35.10817163696049 1.048020531468611 36.1561921684291
151 34.87432832655875 1.2504006201263833 36.12472894668513
152 34.6164314032658 1.4728219140063405 36.08925331727214
153 34.334935309276986 1.714830072679888 36.049765381956874
154 34.030333914088885 1.975932840761407 36.006266754850294
155 33.7031595532998 2.255601044570377 35.958760597870175
156 33.353981996068 2.5532696603446614 35.90725165641266
157 32.98340734327963 2.868338951829341 35.851746295108974
158 32.592076858611975 3.200175674930613 35.79225253354259
159 32.18066573480324 3.5481143469941645 35.7287800817974
160 31.749881797565823 3.9114585781424194 35.66134037570824
161 31.300464149695777 4.289482461985309 35.589946611681086
162 30.83318175804656 4.681432022905067 35.51461378095163
163 30.348831986142102 5.08652671700705 35.43535870314915
164 29.848239075307088 5.503960983726169 35.35220005903326
165 29.332252577289644 5.93290584498211 35.26515842227175
166 28.801745741442257 6.372510548686595 35.17425629012885
167 28.257613859612025 6.8219042533223355 35.07951811293436
168 27.700772571970532 7.280197750236545 34.98097032220708
169 27.13215613708582 7.746485220221736 34.87864135730756
170 26.552715669605355 8.219846020893355 34.77256169049871
171 25.963417348978165 8.699346501317697 34.66276385029586
172 25.365240602697806 9.184041840294409 34.549282442992215
